timestamp,object_id,object_name,x,y,z,heading,pitch,bank,self_x,self_y,self_z,distance_3d
2025-09-07 00:17:22.779,16788224,E-3A,-301939.56164478,6910.6245528581,699346.4489329,1.164589881897,-0.71183097362518,2.3297634124756,-301939.56164478,6910.6245528581,699346.4489329,80974.72
2025-09-07 00:17:23.086,16788224,E-3A,-301896.46571063,6863.2844361691,699411.0931313,1.2290954589844,-0.79758900403976,2.3654224872589,-301896.46571063,6863.2844361691,699411.0931313,80988.17
2025-09-07 00:17:23.399,16788224,E-3A,-301859.66166784,6810.9058550622,699474.12156515,1.2930660247803,-0.88119220733643,2.3950741291046,-301859.66166784,6810.9058550622,699474.12156515,81003.33
2025-09-07 00:17:23.608,16788224,E-3A,-301828.72609412,6753.3865117003,699535.06363446,1.3626866340637,-0.96692299842834,2.4169979095459,-301828.72609412,6753.3865117003,699535.06363446,80997.60
2025-09-07 00:17:23.924,16788224,E-3A,-301811.05725905,6711.76923318,699574.6082955,1.4136590957642,-1.0245208740234,2.4253118038177,-301811.05725905,6711.76923318,699574.6082955,81032.61
2025-09-07 00:17:24.130,16788224,E-3A,-301789.41525467,6646.0408024449,699630.36890937,1.4992632865906,-1.1094977855682,2.424732208252,-301789.41525467,6646.0408024449,699630.36890937,81030.66
2025-09-07 00:17:24.443,16788224,E-3A,-301777.82097753,6599.3417367736,699665.55333037,1.5669674873352,-1.1658799648285,2.4123122692108,-301777.82097753,6599.3417367736,699665.55333037,81069.01
2025-09-07 00:17:24.755,16788224,E-3A,-301764.79452346,6526.8597281233,699713.6724221,1.6940302848816,-1.2473213672638,2.3636758327484,-301764.79452346,6526.8597281233,699713.6724221,81096.00
2025-09-07 00:17:25.065,16788224,E-3A,-301756.38630816,6450.8249848983,699756.47730582,1.8807945251465,-1.3236149549484,2.2505915164948,-301756.38630816,6450.8249848983,699756.47730582,81127.91
2025-09-07 00:17:25.372,16788224,E-3A,-301752.22661136,6372.5191100269,699793.09475526,2.1812753677368,-1.3873293399811,2.0179166793823,-301752.22661136,6372.5191100269,699793.09475526,81164.26
2025-09-07 00:17:25.682,16788224,E-3A,-301751.82841417,6290.9536488563,699823.77575139,2.6862173080444,-1.4270731210709,1.5821999311447,-301751.82841417,6290.9536488563,699823.77575139,81206.96
2025-09-07 00:17:25.994,16788224,E-3A,-301754.79972583,6207.1683327362,699847.82322282,3.3190612792969,-1.4253129959106,1.0296038389206,-301754.79972583,6207.1683327362,699847.82322282,81255.81
2025-09-07 00:17:26.295,16788224,E-3A,-301760.42550115,6123.9126015478,699864.49685813,3.7753808498383,-1.3835060596466,0.64535909891129,-301760.42550115,6123.9126015478,699864.49685813,81309.32
2025-09-07 00:17:26.600,16788224,E-3A,-301768.09409302,6040.9625924589,699874.14516611,4.0276374816895,-1.3238700628281,0.45195293426514,-301768.09409302,6040.9625924589,699874.14516611,81370.59
2025-09-07 00:17:26.902,16788224,E-3A,-301777.57665958,5956.3566443242,699876.95876139,4.1899311542511,-1.2552540302277,0.34898439049721,-301777.57665958,5956.3566443242,699876.95876139,81437.13
2025-09-07 00:17:27.210,16788224,E-3A,-301788.0817539,5873.6439799949,699872.85444801,4.3005967140198,-1.1854695081711,0.29463467001915,-301788.0817539,5873.6439799949,699872.85444801,81512.52
2025-09-07 00:17:27.516,16788224,E-3A,-301799.93968738,5787.5778340219,699861.28148425,4.3799951076508,-1.1129531860352,0.26141732931137,-301799.93968738,5787.5778340219,699861.28148425,81594.41
2025-09-07 00:17:27.826,16788224,E-3A,-301811.74710574,5706.2750555238,699843.37139446,4.4298481941223,-1.0475289821625,0.23914076387882,-301811.74710574,5706.2750555238,699843.37139446,81683.50
2025-09-07 00:17:28.034,16788224,E-3A,-301824.06984589,5624.4569662722,699818.32928674,4.4648871421814,-0.98131233453751,0.2182781547308,-301824.06984589,5624.4569662722,699818.32928674,81756.31
2025-09-07 00:17:28.340,16788224,E-3A,-301832.30289598,5571.1814630843,699798.12221015,4.4833908081055,-0.93781334161758,0.20586843788624,-301832.30289598,5571.1814630843,699798.12221015,81845.53
2025-09-07 00:17:28.644,16788224,E-3A,-301844.53028524,5493.9143468137,699763.07091432,4.5065536499023,-0.872767329216,0.18840323388577,-301844.53028524,5493.9143468137,699763.07091432,81950.31
2025-09-07 00:17:28.951,16788224,E-3A,-301856.85679439,5418.2121385516,699721.69520192,4.5250798463821,-0.8105474114418,0.17350472509861,-301856.85679439,5418.2121385516,699721.69520192,82061.29
2025-09-07 00:17:29.256,16788224,E-3A,-301868.71953074,5347.4390102459,699676.22994087,4.5394911766052,-0.75548952817917,0.16200658679008,-301868.71953074,5347.4390102459,699676.22994087,82175.93
2025-09-07 00:17:29.556,16788224,E-3A,-301880.5941032,5278.643072635,699625.2633179,4.5518079996109,-0.70346736907959,0.15253832936287,-301880.5941032,5278.643072635,699625.2633179,82294.82
2025-09-07 00:17:29.868,16788224,E-3A,-301892.33446975,5212.6384505746,699569.57080757,4.5624895095825,-0.65421909093857,0.14471766352654,-301892.33446975,5212.6384505746,699569.57080757,82420.95
2025-09-07 00:17:30.175,16788224,E-3A,-301903.88145821,5149.687702815,699509.66404876,4.5720725059509,-0.60642808675766,0.13804782927036,-301903.88145821,5149.687702815,699509.66404876,82549.80
2025-09-07 00:17:30.474,16788224,E-3A,-301915.21814179,5089.8197401048,699445.84090558,4.5804971456528,-0.56170642375946,0.13247457146645,-301915.21814179,5089.8197401048,699445.84090558,82681.07
2025-09-07 00:17:30.780,16788224,E-3A,-301926.11658216,5034.0974853655,699379.75714608,4.5866521596909,-0.52917265892029,0.12850666046143,-301926.11658216,5034.0974853655,699379.75714608,82815.76
2025-09-07 00:17:31.087,16788224,E-3A,-301937.02464651,4979.9791164441,699309.17186373,4.5899125337601,-0.51640504598618,0.12647373974323,-301937.02464651,4979.9791164441,699309.17186373,82955.05
2025-09-07 00:17:31.391,16788224,E-3A,-301947.94059813,4927.0621886284,699234.70944328,4.5919415950775,-0.51175671815872,0.12545588612556,-301947.94059813,4927.0621886284,699234.70944328,83097.68
2025-09-07 00:17:31.702,16788224,E-3A,-301958.38731613,4877.1634594524,699160.50701938,4.5938494205475,-0.50655835866928,0.12454652786255,-301958.38731613,4877.1634594524,699160.50701938,83241.30
2025-09-07 00:17:32.007,16788224,E-3A,-301969.09079634,4826.4972213657,699081.96745326,4.5960836410522,-0.49841049313545,0.12336641550064,-301969.09079634,4826.4972213657,699081.96745326,83387.90
2025-09-07 00:17:32.313,16788224,E-3A,-301979.51277147,4777.4679943557,699003.26951851,4.5987884998322,-0.48692721128464,0.12188834697008,-301979.51277147,4777.4679943557,699003.26951851,83534.64
2025-09-07 00:17:32.619,16788224,E-3A,-301989.86156466,4729.0456422927,698922.98698664,4.6017085313797,-0.47374233603477,0.12032207846642,-301989.86156466,4729.0456422927,698922.98698664,83683.16
2025-09-07 00:17:32.926,16788224,E-3A,-302000.29882838,4680.4957914957,698839.78808658,4.6049091815948,-0.45800071954727,0.11865140497684,-302000.29882838,4680.4957914957,698839.78808658,83834.58
2025-09-07 00:17:33.231,16788224,E-3A,-302010.44397579,4633.6404013137,698756.62781945,4.6079032421112,-0.44303557276726,0.11709646880627,-302010.44397579,4633.6404013137,698756.62781945,83986.15
2025-09-07 00:17:33.532,16788224,E-3A,-302020.52414495,4587.454041133,698671.643629,4.6104652881622,-0.43140670657158,0.11579590290785,-302020.52414495,4587.454041133,698671.643629,84138.18
